level,chapter,category,type,targetCounts,distractors,timeLimitSec,starBase,star2,star3,starUnlockReq,taskIds
1,1,instrument,standard,3,36,61,199.90,109.9,149.9,,instrument
2,1,flying,standard,3,36,61,199.90,109.9,149.9,,flying
3,1,sweet_food,standard,3,36,61,199.90,109.9,149.9,,sweet_food
4,1,animal,standard,2|2,36,68,309.84,170.4,232.4,,instrument|fruit
5,1,container,standard,2|2,36,68,309.84,170.4,232.4,,written|animal
6,1,sharp,standard,2|2,36,68,309.84,170.4,232.4,,container|flying
7,1,vehicle,standard,2|2,37,68,309.84,170.4,232.4,,glowing|vegetable
8,1,written,standard,2|2,37,68,309.84,170.4,232.4,,sharp|animal
9,1,glowing,standard,2|2,37,68,309.84,170.4,232.4,,sweet_food|vehicle
10,1,plant,boss,3|3,39,74,546.80,300.7,410.1,,plant|ceramic
11,2,written,standard,2|2,37,68,309.84,170.4,232.4,,food|weapon
12,2,glowing,standard,2|2,37,68,309.84,170.4,232.4,,round|animal
13,2,plant,standard,2|2,37,68,309.84,170.4,232.4,,slender|fruit
14,2,instrument,standard,3|2,37,75,444.80,244.6,333.6,,instrument|fruit
15,2,flying,standard,2|3,37,75,444.80,244.6,333.6,,written|animal
16,2,sweet_food,standard,3|2,38,75,444.80,244.6,333.6,,container|flying
17,2,animal,standard,2|3,38,75,444.80,244.6,333.6,,glowing|vegetable
18,2,container,standard,3|2,38,75,444.80,244.6,333.6,,sharp|animal
19,2,sharp,standard,2|3,38,75,444.80,244.6,333.6,,sweet_food|vehicle
20,2,vehicle,boss,4|3,40,80,715.96,393.8,537.0,,plant|ceramic
21,3,container,standard,2|3,38,75,444.80,244.6,333.6,15,sweet_plants|instrument
22,3,sharp,standard,3|2,38,75,444.80,244.6,333.6,,wooden_bridges|fruit
23,3,vehicle,standard,2|3,38,75,444.80,244.6,333.6,,metal_wearables|vegetable
24,3,written,cluster,3|3,39,78,576.80,317.2,432.6,,luminous_fliers|container
25,3,glowing,standard,3|3,38,82,606.80,333.7,455.1,,fruit_or_vegetable|written
26,3,plant,standard,3|3,38,82,606.80,333.7,455.1,,animal_or_vehicle|ceramic
27,3,instrument,mist,3|3,41,75,554.30,304.9,415.7,,food_not_sweet|glowing
28,3,flying,standard,3|3,39,82,606.80,333.7,455.1,,sharp_not_weapon|plant
29,3,sweet_food,standard,3|3,39,82,606.80,333.7,455.1,,bridge_not_wood|animal
30,3,animal,boss,4|4,41,86,912.00,501.6,684.0,,patterned|fruit
31,4,flying,standard,3|3,39,82,606.80,333.7,455.1,,sweet_plants|instrument
32,4,sweet_food,standard,3|3,39,82,606.80,333.7,455.1,,wooden_bridges|fruit
33,4,animal,standard,3|3,39,82,606.80,333.7,455.1,,metal_wearables|vegetable
34,4,container,cluster,3|4,40,85,761.46,418.8,571.1,,luminous_fliers|container
35,4,sharp,speed,3|4,39,58,515.76,283.7,386.8,,fruit_or_vegetable|written
36,4,vehicle,standard,4|3,40,89,797.86,438.8,598.4,,animal_or_vehicle|ceramic
37,4,written,mist,3|4,42,82,734.16,403.8,550.6,,food_not_sweet|glowing
38,4,glowing,standard,4|3,40,89,797.86,438.8,598.4,,sharp_not_weapon|plant
39,4,plant,standard,3|4,40,89,797.86,438.8,598.4,,bridge_not_wood|animal
40,4,instrument,boss,5|4,42,93,1149.24,632.1,861.9,,patterned|fruit
41,5,glowing,standard,2|2|3,40,89,797.86,438.8,598.4,45,sweet_plants|instrument|animal
42,5,plant,cluster,3|2|2,41,85,761.46,418.8,571.1,,wooden_bridges|fruit|wearable
